thread_id,event_id,is_rumour,has_replies,max_depth,total_nodes,max_width,leaf_ratio,avg_branching,linearity,width_depth_ratio,first_reply_sec,early_30min_count,early_60min_count,total_duration_hr,burst_ratio,sent_mean,sent_std,sent_min,neg_ratio,avg_negative,avg_positive
552783238415265792,charliehebdo,1,1,5,10,5,0.5,1.8,0.5,0.8333333333333334,1087.0,2,4,1.9058333333333333,1.04940970703979,-0.19185555555555556,0.3496472511645323,-0.8481,0.4444444444444444,0.15166666666666667,0.0648888888888889
552783667052167168,charliehebdo,1,1,3,8,5,0.625,2.3333333333333335,0.375,1.25,407.0,5,6,10.608611111111111,0.471315231337226,-0.3154,0.2724744129533739,-0.6486,0.7142857142857143,0.17914285714285713,0.060714285714285714
552783745565347840,charliehebdo,1,1,1,6,5,0.8333333333333334,5.0,0.16666666666666666,2.5,337.0,3,4,1.4047222222222222,2.1356535495352977,-0.45249999999999996,0.6388491465126959,-0.8885,0.8,0.2826,0.1288
552784168849907712,charliehebdo,1,1,10,14,3,0.2857142857142857,1.3,0.7142857142857143,0.2727272727272727,92.0,8,12,1.621388888888889,4.9340414596539315,-0.12885384615384618,0.45468415853608607,-0.87,0.46153846153846156,0.1523076923076923,0.07907692307692307
552784526955806720,charliehebdo,1,1,5,17,10,0.5882352941176471,2.2857142857142856,0.29411764705882354,1.6666666666666667,41.0,14,14,2.234722222222222,6.264760720944687,-0.40945624999999997,0.2936596370986954,-0.7845,0.6875,0.2548125,0.064875
552784882687299584,charliehebdo,1,1,3,23,16,0.7391304347826086,3.6666666666666665,0.13043478260869565,4.0,106.0,19,19,2.826388888888889,6.722358722358723,-0.19025833333333333,0.41086269393057445,-0.886,0.5,0.12720833333333334,0.06512499999999999
552785367972450304,charliehebdo,1,1,2,11,8,0.8181818181818182,5.0,0.18181818181818182,2.6666666666666665,1049.0,1,7,3.415,0.29282576866764276,-0.07452,0.5050330321870046,-0.7845,0.3,0.08920000000000002,0.0913
552785375161499649,charliehebdo,1,1,1,4,3,0.75,3.0,0.25,1.5,113.0,3,3,0.1786111111111111,16.796267496111977,-0.03780000000000002,0.5008573715806394,-0.4404,0.6666666666666666,0.32266666666666666,0.06966666666666667
552785443813457921,charliehebdo,1,1,1,11,10,0.9090909090909091,10.0,0.09090909090909091,5.0,72.0,4,6,2.917777777777778,1.3709063214013708,-0.15399000000000002,0.5348359887853471,-0.8271,0.5,0.1464,0.07980000000000001
552785551930454016,charliehebdo,1,1,1,3,2,0.6666666666666666,2.0,0.3333333333333333,1.0,356.0,2,2,0.2336111111111111,8.561236623067776,0.0,0.0,0.0,0.0,0.0,0.0
552785695845396480,charliehebdo,1,1,2,5,3,0.6,2.0,0.4,1.0,640.0,3,3,2.1175,1.4167650531286893,0.28135,0.18915355534591466,0.0,0.0,0.057,0.23575000000000002
552786016906383360,charliehebdo,1,1,4,15,8,0.5333333333333333,2.0,0.26666666666666666,1.6,990.0,2,8,2.9227777777777777,0.6842805550275614,-0.12658571428571427,0.45122720418423173,-0.8049,0.35714285714285715,0.16792857142857143,0.122
552786099899494400,charliehebdo,1,1,2,21,17,0.8095238095238095,5.0,0.09523809523809523,5.666666666666667,26.0,15,18,210.69666666666666,0.07119239348826908,-0.06356999999999999,0.4225487274859551,-0.6486,0.45,0.1273,0.10555
552786361758265344,charliehebdo,1,1,2,13,10,0.7692307692307693,4.0,0.15384615384615385,3.3333333333333335,53.0,10,10,8.006666666666666,1.2489592006661117,-0.3158916666666667,0.3689538644562789,-0.802,0.5833333333333334,0.2580833333333334,0.06433333333333334
552786818853113857,charliehebdo,1,1,2,14,12,0.8571428571428571,6.5,0.14285714285714285,4.0,34.0,11,12,2.790277777777778,3.942259830761573,-0.12894615384615385,0.44798770521485143,-0.7906,0.5384615384615384,0.1747692307692308,0.1093076923076923
552787231468191744,charliehebdo,1,1,1,2,1,0.5,1.0,0.5,0.5,1224.0,1,1,0.34,2.941176470588235,-0.9022,0.0,-0.9022,1.0,0.424,0.109
552787544837197824,charliehebdo,1,1,1,2,1,0.5,1.0,0.5,0.5,835.0,1,5,10.914166666666667,0.0916240360387875,-0.5866285714285714,0.5496324556706332,-0.9477,0.8571428571428571,0.38999999999999996,0.059571428571428574
552787878351474688,charliehebdo,1,1,1,2,1,0.5,1.0,0.5,0.5,1143.0,1,1,0.3175,3.149606299212598,0.0,0.0,0.0,0.0,0.0,0.0
552788396733906944,charliehebdo,1,1,1,3,2,0.6666666666666666,2.0,0.3333333333333333,1.0,182.0,2,2,0.07027777777777777,28.458498023715418,-0.4088,0.4088,-0.8176,0.5,0.147,0.0
552788886355996672,charliehebdo,1,1,12,61,10,0.4262295081967213,1.7142857142857142,0.19672131147540983,0.7692307692307693,74.0,34,41,3.8333333333333335,8.869565217391305,-0.11193333333333334,0.45864349360066387,-0.9042,0.4166666666666667,0.11603333333333335,0.09613333333333333
552788945017516032,charliehebdo,1,1,9,28,9,0.4642857142857143,1.8,0.32142857142857145,0.9,33.0,19,26,3.7525,5.063291139240507,0.017059259259259267,0.35378127398390313,-0.8658,0.2962962962962963,0.0685925925925926,0.06781481481481481
552788947219533824,charliehebdo,1,1,1,4,3,0.75,3.0,0.25,1.5,111.0,2,3,0.6213888888888889,3.218596334376397,-0.5017666666666667,0.24633695531843278,-0.8481,1.0,0.24333333333333332,0.014
552789127792717826,charliehebdo,1,1,1,7,6,0.8571428571428571,6.0,0.14285714285714285,3.0,121.0,6,6,0.4147222222222222,14.467515070328199,-0.25648333333333334,0.379886958698096,-0.9161,0.3333333333333333,0.121,0.041
552789521646247936,charliehebdo,1,1,5,33,11,0.6666666666666666,2.909090909090909,0.15151515151515152,1.8333333333333333,85.0,16,21,5.532777777777778,2.89185661210965,-0.1080875,0.4657171383670028,-0.9156,0.4375,0.12775,0.1070625
552790074166108160,charliehebdo,1,1,1,9,8,0.8888888888888888,8.0,0.1111111111111111,4.0,31.0,8,8,0.3269444444444444,24.468988954970264,-0.31253749999999997,0.4510024360729662,-0.6486,0.625,0.168625,0.04575
552790082533752832,charliehebdo,1,0,0,1,1,1.0,0.0,1.0,1.0,,0,0,0.0,,-0.836,0.0,-0.836,1.0,0.441,0.0
552790371848040449,charliehebdo,1,1,1,14,13,0.9285714285714286,13.0,0.07142857142857142,6.5,40.0,9,10,5.495833333333334,1.6376042456406368,-0.2030538461538462,0.43518202843157766,-0.8555,0.46153846153846156,0.16299999999999998,0.02346153846153846
552790742700417024,charliehebdo,1,1,4,20,14,0.7,3.1666666666666665,0.2,2.8,73.0,18,18,8.5775,2.098513552900029,-0.2356473684210526,0.46483597601555965,-0.8885,0.5789473684210527,0.1691578947368421,0.09347368421052632
552790824971677696,charliehebdo,1,1,7,25,14,0.6,2.4,0.28,1.75,228.0,13,16,2.0613888888888887,6.30642770516103,-0.187275,0.4766056941627254,-0.9001,0.4583333333333333,0.13412500000000002,0.0655
552790838015979520,charliehebdo,1,1,2,20,18,0.9,9.5,0.1,6.0,44.0,18,19,0.6008333333333333,29.958391123439668,-0.21234736842105265,0.4700641460911938,-0.93,0.47368421052631576,0.1882105263157895,0.05384210526315789
552790875492073472,charliehebdo,1,1,1,6,5,0.8333333333333334,5.0,0.16666666666666666,2.5,142.0,3,5,0.5972222222222222,5.023255813953488,-0.48440000000000005,0.43039760687067025,-0.937,0.8,0.24739999999999998,0.0618
552790878805168129,charliehebdo,1,1,1,6,5,0.8333333333333334,5.0,0.16666666666666666,2.5,164.0,4,5,0.8275,4.833836858006042,-0.35930000000000006,0.5423346162656408,-0.7717,0.8,0.21259999999999998,0.0742
552791034447794176,charliehebdo,1,1,3,9,6,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.5,91.0,8,8,0.23944444444444443,33.41067285382831,-0.10117500000000003,0.472987422533623,-0.802,0.5,0.157375,0.140625
552791065645027328,charliehebdo,1,1,2,9,7,0.7777777777777778,4.0,0.2222222222222222,2.3333333333333335,511.0,8,8,0.48194444444444445,16.59942363112392,-0.32654999999999995,0.34153552523859065,-0.6808,0.625,0.1155,0.01625
